Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"GLUL","Glutamate-Ammonia Ligase","Protein Coding","P15104","61","GC01M182378","52.9563407897949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUL"
"FADD","Fas Associated Via Death Domain","Protein Coding","Q13158","59","GC11P070203","48.5682144165039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FADD"
"CPS1","Carbamoyl-Phosphate Synthase 1","Protein Coding","P31327","61","GC02P210477","47.0724449157715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","64","GC10P116129","45.7756767272949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"MYBPC3","Myosin Binding Protein C3","Protein Coding","Q14896","59","GC11M132468","39.4846115112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBPC3"
"BID","BH3 Interacting Domain Death Agonist","Protein Coding","P55957","58","GC22M017734","38.1738929748535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BID"
"OTC","Ornithine Transcarbamylase","Protein Coding","P00480","59","GC0XP038345","35.8841209411621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC"
"HAL","Histidine Ammonia-Lyase","Protein Coding","P42357","55","GC12M095972","35.4668579101563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAL"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","34.6993865966797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"ASS1","Argininosuccinate Synthase 1","Protein Coding","P00966","62","GC09P130444","32.2405471801758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASS1"
"BAD","BCL2 Associated Agonist Of Cell Death","Protein Coding","Q92934","57","GC11M132747","31.6750659942627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAD"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","31.0529918670654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"MYH7","Myosin Heavy Chain 7","Protein Coding","P12883","59","GC14M023412","30.6257019042969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH7"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P156244","30.1425971984863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"ACADM","Acyl-CoA Dehydrogenase Medium Chain","Protein Coding","P11310","59","GC01P075724","29.1239814758301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM"
"ASL","Argininosuccinate Lyase","Protein Coding","P04424","56","GC07P066075","29.012731552124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASL"
"TNNI3","Troponin I3, Cardiac Type","Protein Coding","P19429","61","GC19M055151","28.4611206054688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI3"
"SLC25A13","Solute Carrier Family 25 Member 13","Protein Coding","Q9UJS0","58","GC07M096120","28.1684226989746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A13"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","63","GC18M063123","27.6301288604736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"SCN1A","Sodium Voltage-Gated Channel Alpha Subunit 1","Protein Coding","P35498","60","GC02M165989","27.3816909790039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN1A"
"GLUD1","Glutamate Dehydrogenase 1","Protein Coding","P00367","63","GC10M087050","26.5512809753418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD1"
"ACADVL","Acyl-CoA Dehydrogenase Very Long Chain","Protein Coding","P49748","58","GC17P132621","26.4978141784668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADVL"
"NAGS","N-Acetylglutamate Synthase","Protein Coding","Q8N159","54","GC17P044004","26.1277160644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGS"
"GLS","Glutaminase","Protein Coding","O94925","62","GC02P190880","25.7029266357422","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLS"
"HADHA","Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha","Protein Coding","P40939","59","GC02M026190","25.5335712432861","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHA"
"ARG1","Arginase 1","Protein Coding","P05089","62","GC06P158145","24.3472957611084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARG1"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","64","GC19P048954","23.8899459838867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"CFLAR","CASP8 And FADD Like Apoptosis Regulator","Protein Coding","O15519","56","GC02P204216","22.4833202362061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFLAR"
"SLC25A15","Solute Carrier Family 25 Member 15","Protein Coding","Q9Y619","56","GC13P040789","22.0671901702881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A15"
"CYCS","Cytochrome C, Somatic","Protein Coding","P99999","61","GC07M025118","21.8808689117432","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"CPT2","Carnitine Palmitoyltransferase 2","Protein Coding","P23786","62","GC01P053196","21.790735244751","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT2"
"SLC22A5","Solute Carrier Family 22 Member 5","Protein Coding","O76082","59","GC05P132369","21.6869812011719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A5"
"HADHB","Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Beta","Protein Coding","P55084","59","GC02P026243","21.5316505432129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHB"
"BCL2L1","BCL2 Like 1","Protein Coding","Q07817","62","GC20M031664","21.3506412506104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1"
"SLC25A20","Solute Carrier Family 25 Member 20","Protein Coding","O43772","58","GC03M048960","21.067066192627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A20"
"EDARADD","EDAR Associated Via Death Domain","Protein Coding","Q8WWZ3","48","GC01P236348","20.9383850097656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDARADD"
"TNFSF10","TNF Superfamily Member 10","Protein Coding","P50591","57","GC03M172505","20.9129295349121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF10"
"CPT1A","Carnitine Palmitoyltransferase 1A","Protein Coding","P50416","61","GC11M068754","20.3395957946777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT1A"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","P45983","62","GC10P048306","20.2793807983398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"TNNT2","Troponin T2, Cardiac Type","Protein Coding","P45379","61","GC01M201359","20.0444984436035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNT2"
"PDHA1","Pyruvate Dehydrogenase E1 Subunit Alpha 1","Protein Coding","P08559","60","GC0XP019343","19.8630619049072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHA1"
"OAT","Ornithine Aminotransferase","Protein Coding","P04181","60","GC10M124397","19.3118286132813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAT"
"HMGCL","3-Hydroxy-3-Methylglutaryl-CoA Lyase","Protein Coding","P35914","58","GC01M023801","19.2311172485352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCL"
"KCNJ2","Potassium Inwardly Rectifying Channel Subfamily J Member 2","Protein Coding","P63252","61","GC17P070168","18.4921474456787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ2"
"PC","Pyruvate Carboxylase","Protein Coding","P11498","60","GC11M066848","18.1486129760742","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PC"
"MYH6","Myosin Heavy Chain 6","Protein Coding","P13533","59","GC14M023381","18.105920791626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH6"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","17.7578773498535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"BCKDHB","Branched Chain Keto Acid Dehydrogenase E1 Subunit Beta","Protein Coding","P21953","55","GC06P080106","17.7260246276855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCKDHB"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","63","GC01M226360","17.5894145965576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"GCK","Glucokinase","Protein Coding","P35557","62","GC07M045514","17.30299949646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"SOD1","Superoxide Dismutase 1","Protein Coding","P00441","66","GC21P031659","17.0427436828613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"ETFDH","Electron Transfer Flavoprotein Dehydrogenase","Protein Coding","Q16134","57","GC04P158672","16.9209861755371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETFDH"
"PCCA","Propionyl-CoA Carboxylase Subunit Alpha","Protein Coding","P05165","59","GC13P100089","16.8873386383057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCCA"
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","63","GC21M025880","16.7855072021484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","16.6671524047852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","19","GC01P060062","16.5620899200439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"SLC7A7","Solute Carrier Family 7 Member 7","Protein Coding","Q9UM01","56","GC14M022773","16.2763957977295","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC7A7"
"DAPL1","Death Associated Protein Like 1","Protein Coding","A0PJW8","41","GC02P158795","16.2255039215088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPL1"
"MMUT","Methylmalonyl-CoA Mutase","Protein Coding","P22033","58","GC06M049430","16.1296691894531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMUT"
"MYL2","Myosin Light Chain 2","Protein Coding","P10916","61","GC12M111857","16.0673847198486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL2"
"ACADS","Acyl-CoA Dehydrogenase Short Chain","Protein Coding","P16219","58","GC12P136083","16.0039196014404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADS"
"CASP7","Caspase 7","Protein Coding","P55210","62","GC10P113679","15.895565032959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7"
"BCL2L11","BCL2 Like 11","Protein Coding","O43521","58","GC02P111119","15.8527603149414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11"
"ETFB","Electron Transfer Flavoprotein Subunit Beta","Protein Coding","P38117","57","GC19M051345","15.537260055542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETFB"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","62","GC01M058780","15.3389930725098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","15.2372589111328","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","15.2186765670776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"PCCB","Propionyl-CoA Carboxylase Subunit Beta","Protein Coding","P05166","59","GC03P136250","15.184928894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCCB"
"TMEM70","Transmembrane Protein 70","Protein Coding","Q9BUB7","51","GC08P073972","15.1360483169556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM70"
"ALB","Albumin","Protein Coding","P02768","61","GC04P073397","15.0938539505005","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"MAOA","Monoamine Oxidase A","Protein Coding","P21397","62","GC0XP043654","15.0543270111084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"IVD","Isovaleryl-CoA Dehydrogenase","Protein Coding","P26440","56","GC15P040405","14.7952919006348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IVD"
"NGF","Nerve Growth Factor","Protein Coding","P01138","63","GC01M115285","14.7582740783691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF"
"MMACHC","Metabolism Of Cobalamin Associated C","Protein Coding","Q9Y4U1","55","GC01P045500","14.6141004562378","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMACHC"
"DLD","Dihydrolipoamide Dehydrogenase","Protein Coding","P09622","62","GC07P109031","14.5800685882568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLD"
"SNCA","Synuclein Alpha","Protein Coding","P37840","65","GC04M089724","14.4487295150757","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","14.4158334732056","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"RIPK3","Receptor Interacting Serine/Threonine Kinase 3","Protein Coding","Q9Y572","56","GC14M024336","14.3559017181396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK3"
"TPM1","Tropomyosin 1","Protein Coding","P09493","61","GC15P183371","14.3108797073364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM1"
"ETFA","Electron Transfer Flavoprotein Subunit Alpha","Protein Coding","P13804","58","GC15M155649","14.2562656402588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETFA"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","62","GC11M027654","14.1734380722046","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"TTR","Transthyretin","Protein Coding","P02766","61","GC18P031557","14.0793085098267","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"RHAG","Rh Associated Glycoprotein","Protein Coding","Q02094","55","GC06M049605","14.0516109466553","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHAG"
"HLCS","Holocarboxylase Synthetase","Protein Coding","P50747","55","GC21M036750","13.9930734634399","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLCS"
"DMD","Dystrophin","Protein Coding","P11532","58","GC0XM031097","13.9554529190063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMD"
"RHBG","Rh Family B Glycoprotein","Protein Coding","Q9H310","47","GC01P170559","13.9514446258545","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHBG"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","13.8846130371094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"CAD","Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase","Protein Coding","P27708","62","GC02P027217","13.7002611160278","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAD"
"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase","Protein Coding","P04406","63","GC12P046751","13.5791368484497","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH"
"ARG2","Arginase 2","Protein Coding","P78540","59","GC14P067619","13.509105682373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARG2"
"IFNG","Interferon Gamma","Protein Coding","P01579","63","GC12M068154","13.4852123260498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"APOE","Apolipoprotein E","Protein Coding","P02649","62","GC19P133238","13.4421558380127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"ALDH18A1","Aldehyde Dehydrogenase 18 Family Member A1","Protein Coding","P54886","58","GC10M095605","13.4311380386353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH18A1"
"ADA","Adenosine Deaminase","Protein Coding","P00813","63","GC20M044620","13.3825197219849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"MMAA","Metabolism Of Cobalamin Associated A","Protein Coding","Q8IVH4","50","GC04P145647","13.3043336868286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMAA"
"BCKDHA","Branched Chain Keto Acid Dehydrogenase E1 Subunit Alpha","Protein Coding","P12694","55","GC19P133107","13.2551164627075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCKDHA"
"PARK7","Parkinsonism Associated Deglycase","Protein Coding","Q99497","60","GC01P060126","13.2394685745239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7"
"CTNNB1","Catenin Beta 1","Protein Coding","P35222","66","GC03P041194","13.2161798477173","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"HMOX1","Heme Oxygenase 1","Protein Coding","P09601","65","GC22P035380","13.2148876190186","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"PAH","Phenylalanine Hydroxylase","Protein Coding","P00439","60","GC12M102836","13.1625308990479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAH"
"TMX2-CTNND1","TMX2-CTNND1 Readthrough (NMD Candidate)","RNA Gene","","26","GC11P057712","13.1501998901367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1"
"CBS","Cystathionine Beta-Synthase","Protein Coding","P35520","63","GC21M043053","13.0289478302002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBS"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","P51608","59","GC0XM154021","12.9586172103882","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"GFAP","Glial Fibrillary Acidic Protein","Protein Coding","P14136","61","GC17M089491","12.9014558792114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GFAP"
"CAT","Catalase","Protein Coding","P04040","64","GC11P034460","12.8922863006592","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"GJA1","Gap Junction Protein Alpha 1","Protein Coding","P17302","63","GC06P157880","12.6702880859375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA1"
"CA5A","Carbonic Anhydrase 5A","Protein Coding","P35218","56","GC16M087882","12.6143140792847","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA5A"
"IL1A","Interleukin 1 Alpha","Protein Coding","P01583","58","GC02M112773","12.5749864578247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"MCCC2","Methylcrotonyl-CoA Carboxylase Subunit 2","Protein Coding","Q9HCC0","55","GC05P079737","12.5405387878418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCCC2"
"IDS","Iduronate 2-Sulfatase","Protein Coding","P22304","60","GC0XM149476","12.3861885070801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDS"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","12.3795433044434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","12.2592144012451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"ATF4","Activating Transcription Factor 4","Protein Coding","P18848","60","GC22P039519","12.1931867599487","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF4"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","12.1877861022949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","12.1862936019897","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"RHCG","Rh Family C Glycoprotein","Protein Coding","Q9UBD6","50","GC15M089471","12.1641855239868","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHCG"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","P04062","62","GC01M165117","12.1638193130493","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","61","GC14P061695","12.0869913101196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"MMAB","Metabolism Of Cobalamin Associated B","Protein Coding","Q96EY8","55","GC12M109553","12.0674152374268","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMAB"
"MCCC1","Methylcrotonyl-CoA Carboxylase Subunit 1","Protein Coding","Q96RQ3","56","GC03M183015","12.0645866394043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCCC1"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","Q16539","63","GC06P156437","11.9447841644287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
"SRR","Serine Racemase","Protein Coding","Q9GZT4","54","GC17P002303","11.8984956741333","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRR"
"GLULP6","Glutamate-Ammonia Ligase Pseudogene 6","Pseudogene","","8","GC02M194129","11.8828296661377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLULP6"
"HADH","Hydroxyacyl-CoA Dehydrogenase","Protein Coding","Q16836","60","GC04P107989","11.8722066879272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADH"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","63","GC09M021967","11.8630800247192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"SUCLA2","Succinate-CoA Ligase ADP-Forming Subunit Beta","Protein Coding","Q9P2R7","58","GC13M047745","11.8566465377808","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLA2"
"CERNA3","Competing Endogenous LncRNA 3 For MiR-645","RNA Gene","","21","GC08P056381","11.8454475402832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","58","GC11M013431","11.8412437438965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"INS","Insulin","Protein Coding","P01308","61","GC11M002159","11.8333988189697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"CLU","Clusterin","Protein Coding","P10909","60","GC08M027596","11.7894506454468","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU"
"F2","Coagulation Factor II, Thrombin","Protein Coding","P00734","63","GC11P048362","11.7828388214111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"GLA","Galactosidase Alpha","Protein Coding","P06280","62","GC0XM101393","11.7150440216064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","P00533","68","GC07P055019","11.6490697860718","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","11.5621976852417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","65","GC19M041301","11.5229215621948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M033285","11.5182609558105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","34","GC19P132003","11.4839401245117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"G6PC1","Glucose-6-Phosphatase Catalytic Subunit 1","Protein Coding","P35575","56","GC17P135176","11.4736289978027","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PC1"
"BTD","Biotinidase","Protein Coding","P43251","58","GC03P024338","11.4176578521729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTD"
"RYR1","Ryanodine Receptor 1","Protein Coding","P21817","61","GC19P132993","11.3569231033325","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"SUCLG1","Succinate-CoA Ligase GDP/ADP-Forming Subunit Alpha","Protein Coding","P53597","57","GC02M084423","11.3566112518311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG1"
"AMPD1","Adenosine Monophosphate Deaminase 1","Protein Coding","P23109","58","GC01M114673","11.2682075500488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPD1"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","P10145","56","GC04P073740","11.1880435943604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","P35228","62","GC17M027756","11.1796493530273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"BCS1L","BCS1 Homolog, Ubiquinol-Cytochrome C Reductase Complex Chaperone","Protein Coding","Q9Y276","56","GC02P218658","11.1276626586914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCS1L"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","P54098","60","GC15M156028","11.0705213546753","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"HSPD1","Heat Shock Protein Family D (Hsp60) Member 1","Protein Coding","P10809","61","GC02M197486","11.031608581543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPD1"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","20","GC06M159772","10.9985990524292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","68","GC01M011106","10.9942770004272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","62","GC05M143277","10.9000768661499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"GLS2","Glutaminase 2","Protein Coding","Q9UI32","53","GC12M056470","10.8553972244263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLS2"
"CHAT","Choline O-Acetyltransferase","Protein Coding","P28329","61","GC10P049609","10.8551082611084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","P24298","54","GC08P144502","10.7348251342773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"ACAD9","Acyl-CoA Dehydrogenase Family Member 9","Protein Coding","Q9H845","56","GC03P140883","10.6593151092529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD9"
"BAG3","BAG Cochaperone 3","Protein Coding","O95817","55","GC10P119651","10.5881700515747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3"
"ASNS","Asparagine Synthetase (Glutamine-Hydrolyzing)","Protein Coding","P08243","59","GC07M097854","10.5816249847412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASNS"
"UMPS","Uridine Monophosphate Synthetase","Protein Coding","P11172","58","GC03P124730","10.3700637817383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UMPS"
"DBT","Dihydrolipoamide Branched Chain Transacylase E2","Protein Coding","P11182","55","GC01M100186","10.3261737823486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBT"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","64","GC19P132305","10.3163576126099","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"DPYD","Dihydropyrimidine Dehydrogenase","Protein Coding","Q12882","64","GC01M097015","10.3102970123291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYD"
"CREB1","CAMP Responsive Element Binding Protein 1","Protein Coding","P16220","62","GC02P207529","10.2530307769775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREB1"
