Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"DLK1","Delta Like Non-Canonical Notch Ligand 1","Protein Coding","P80370","58","GC14P118190","1.90951585769653","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLK1"
"ARHGEF5","Rho Guanine Nucleotide Exchange Factor 5","Protein Coding","Q12774","47","GC07P144355","1.90458941459656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF5"
"STX5","Syntaxin 5","Protein Coding","Q13190","52","GC11M062806","1.90211176872253","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX5"
"DPYSL2","Dihydropyrimidinase Like 2","Protein Coding","Q16555","58","GC08P026514","1.89710831642151","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPYSL2"
"COQ3","Coenzyme Q3, Methyltransferase","Protein Coding","Q9NZJ6","47","GC06M099369","1.89680957794189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ3"
"ADCY1","Adenylate Cyclase 1","Protein Coding","Q08828","60","GC07P045580","1.89176201820374","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY1"
"IMPDH2","Inosine Monophosphate Dehydrogenase 2","Protein Coding","P12268","61","GC03M054250","1.89104378223419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IMPDH2"
"LOC126806807","BRD4-Independent Group 4 Enhancer GRCh37_chr3:128620937-128622136","Functional Element","","6","GC03P141240","1.88857579231262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126806807"
"BEST1","Bestrophin 1","Protein Coding","O76090","55","GC11P061949","1.88806796073914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BEST1"
"GRM3","Glutamate Metabotropic Receptor 3","Protein Coding","Q14832","58","GC07P086643","1.88496375083923","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM3"
"SRSF3","Serine And Arginine Rich Splicing Factor 3","Protein Coding","P84103","51","GC06P156444","1.88021087646484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRSF3"
"RP9","RP9 Pre-MRNA Splicing Factor","Protein Coding","Q8TA86","48","GC07M033094","1.87051069736481","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RP9"
"RPL27","Ribosomal Protein L27","Protein Coding","P61353","54","GC17P042998","1.86631679534912","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL27"
"SUCLG2","Succinate-CoA Ligase GDP-Forming Subunit Beta","Protein Coding","Q96I99","53","GC03M067358","1.86597859859467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUCLG2"
"MIR9-1","MicroRNA 9-1","RNA Gene","","30","GC01M156420","1.86124992370605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR9-1"
"GJA8","Gap Junction Protein Alpha 8","Protein Coding","P48165","56","GC01P147902","1.84803450107574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA8"
"RERE","Arginine-Glutamic Acid Dipeptide Repeats","Protein Coding","Q9P2R6","54","GC01M019741","1.84715533256531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RERE"
"PYGB","Glycogen Phosphorylase B","Protein Coding","P11216","55","GC20P025248","1.84647870063782","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGB"
"PCARE","Photoreceptor Cilium Actin Regulator","Protein Coding","A6NGG8","46","GC02M029060","1.84645593166351","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCARE"
"ECSIT","ECSIT Signaling Integrator","Protein Coding","Q9BQ95","50","GC19M011505","1.83333969116211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECSIT"
"REG3A","Regenerating Family Member 3 Alpha","Protein Coding","Q06141","49","GC02M079157","1.82463979721069","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REG3A"
"THORLNC","Testis Associated Oncogenic LncRNA","RNA Gene","","18","GC02M118133","1.81890797615051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THORLNC"
"ALDH9A1","Aldehyde Dehydrogenase 9 Family Member A1","Protein Coding","P49189","54","GC01M165690","1.81735563278198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH9A1"
"TRAF3IP2","TRAF3 Interacting Protein 2","Protein Coding","O43734","55","GC06M111555","1.8167188167572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3IP2"
